"","X__1","CODE","NAME","CUR","PRICE","POINT_CHANGE","PERCENT_CHANGE","DATE"
"1","6","ACA","ACACIA MIN","GBX","249.40",1.4,0.56,2019-08-16
"2","7","ADM","ADMIRAL GRP","GBX","2,150.00",35,1.65,2019-08-16
"3","8","AGK","AGGREKO","GBX","789.80",-0.8,-0.1,2019-08-16
"4","9","AJB","AJ BELL","GBX","383.00",-0.5,-0.13,2019-08-16
"5","18","AGR","ASSURA","GBX","67.00",0.1,0.15,2019-08-16
"6","21","AUTO","AUTO TRAD","GBX","525.20",8.2,1.59,2019-08-16
"7","25","AV.","AVIVA","GBX","360.70",3.1,0.87,2019-08-16
"8","26","BME","B&M EUROPEAN","GBX","339.90",3.1,0.92,2019-08-16
"9","28","BA.","BAE SYS.","GBX","549.00",0.6,0.11,2019-08-16
"10","31","BBY","BALFOUR B.","GBX","219.40",7.2,3.39,2019-08-16
"11","38","BBGI","BBGI SICAV","GBX","154.00",0,0,2019-08-16
"12","40","BEZ","BEAZLEY","GBX","592.50",0.5,0.08,2019-08-16
"13","42","BKG","BERKELEY GP.HLD","GBX","3,829.00",49,1.3,2019-08-16
"14","43","BHP","BHP GROUP","GBX","1,755.20",-17.4,-0.98,2019-08-16
"15","50","BP.","BP","GBX","490.20",0.5,0.1,2019-08-16
"16","55","BT.A","BT GROUP","GBX","164.02",-0.36,-0.22,2019-08-16
"17","61","CAPC","CAP & COUNT","GBX","188.45",0.85,0.45,2019-08-16
"18","63","CARD","CARD FACTORY","GBX","154.00",0,0,2019-08-16
"19","71","CBG","CLOSE BR.GRP.","GBX","1,257.00",17,1.37,2019-08-16
"20","72","CLI","CLS HDGS","GBX","224.50",-0.5,-0.22,2019-08-16
"21","73","COA","COATS GROUP","GBX","71.25",-2.25,-3.06,2019-08-16
"22","80","CSP","COUNTRYSIDE","GBX","282.40",2.4,0.86,2019-08-16
"23","85","CYBG","CYBG","GBX","141.65",8.95,6.74,2019-08-16
"24","92","DLG","DIRECT LINE","GBX","297.90",2.4,0.81,2019-08-16
"25","93","DC.","DIXONS CARPHO","GBX","106.35",1.35,1.29,2019-08-16
"26","99","EIG","EI GRP PLC","GBX","281.00",0,0,2019-08-16
"27","107","EVR","EVRAZ","GBX","496.00",-2.9,-0.58,2019-08-16
"28","111","FERG","FERGUSON","GBX","5,966.00",80,1.36,2019-08-16
"29","119","FLTR","FLUTTER ENT","GBX","6,510.00",114,1.78,2019-08-16
"30","121","FCH","FUNDING CIRCLE","GBX","117.00",2.6,2.27,2019-08-16
"31","126","GCP","GCP INFRA.","GBX","126.00",0,0,2019-08-16
"32","133","GFTU","GRAFTON GRP.UTS","GBX","670.50",-4.5,-0.67,2019-08-16
"33","135","UKW","GREENCOAT UK","GBX","137.40",0.2,0.15,2019-08-16
"34","142","HVPE","HARBOURVEST","GBX","1,700.00",6,0.35,2019-08-16
"35","143","HL.","HARGREAVES LANS","GBX","1,898.00",41,2.21,2019-08-16
"36","145","HAS","HAYS","GBX","145.70",2.2,1.53,2019-08-16
"37","148","HICL","HICL INFRASTRU.","GBX","164.00",-0.4,-0.24,2019-08-16
"38","153","HOC","HOCHSCHILD","GBX","209.80",-5.6,-2.6,2019-08-16
"39","164","ISAT","INMARSAT","GBX","574.80",0.8,0.14,2019-08-16
"40","168","IHP","INTGRAFIN HLDG","GBX","381.00",6.5,1.74,2019-08-16
"41","169","IAG","INTL CONSOL AIR","GBX","421.80",5.5,1.32,2019-08-16
"42","171","INTU","INTU PROPERTIES","GBX","36.55",-2.3,-5.92,2019-08-16
"43","176","JD.","JD SPORTS","GBX","596.00",14.6,2.51,2019-08-16
"44","185","JE.","JUST EAT","GBX","774.60",14,1.84,2019-08-16
"45","195","LMP","LONDONMETRIC","GBX","201.60",2.6,1.31,2019-08-16
"46","201","MDC","MEDICLINIC","GBX","304.40",1.1,0.36,2019-08-16
"47","203","MRO","MELROSE IND","GBX","163.95",3.25,2.02,2019-08-16
"48","204","MRC","MERCANTILE INV.","GBX","191.60",3.4,1.81,2019-08-16
"49","213","MGAM","MORGAN ADVANCED","GBX","242.00",-0.2,-0.08,2019-08-16
"50","217","NG.","NATIONAL GRID","GBX","857.70",6.7,0.79,2019-08-16
"51","219","NETW","NETWORK INTL","GBX","573.00",9,1.6,2019-08-16
"52","220","NRR","NEWRIVER REIT","GBX","147.60",-0.4,-0.27,2019-08-16
"53","225","OSB","ONESAVINGS","GBX","329.60",3,0.92,2019-08-16
"54","228","PIN","PANTHEON INT.","GBX","2,280.00",0,0,2019-08-16
"55","229","PAG","PARAGON GRP.","GBX","397.40",7.6,1.95,2019-08-16
"56","230","PAY","PAYPOINT","GBX","901.00",1,0.11,2019-08-16
"57","234","PSH","PERSHING SQUARE","GBX","1,458.00",12,0.83,2019-08-16
"58","238","PETS","PETS AT HOME","GBX","222.00",0.4,0.18,2019-08-16
"59","239","PHNX","PHOENIX GRP HDG","GBX","656.60",15.6,2.43,2019-08-16
"60","241","PLUS","PLUS500","GBX","705.60",-18.4,-2.54,2019-08-16
"61","243","POLY","POLYMETAL INT","GBX","1,084.50",-0.5,-0.05,2019-08-16
"62","251","QQ.","QINETIQ","GBX","272.00",3,1.12,2019-08-16
"63","256","RDSB","RDS 'B'","GBX","2,265.50",7,0.31,2019-08-16
"64","257","RB.","RECKITT BEN. GP","GBX","6,170.00",90,1.48,2019-08-16
"65","268","RSE","RIVERSTONE","GBX","645.00",-37,-5.43,2019-08-16
"66","269","RR.","ROLLS-ROYCE HLG","GBX","754.00",0.4,0.05,2019-08-16
"67","278","SNN","SANNE GROUP","GBX","551.00",-1,-0.18,2019-08-16
"68","292","SN.","SMITH&NEPHEW","GBX","1,897.50",17.5,0.93,2019-08-16
"69","295","SSON","SMITHSON INVEST","GBX","1,234.00",26,2.15,2019-08-16
"70","296","SKG","SMURFIT KAP.","GBX","2,434.00",62,2.61,2019-08-16
"71","305","STJ","ST.JAMES'S PLAC","GBX","940.00",25.4,2.78,2019-08-16
"72","310","SYNC","SYNCONA","GBX","235.00",5,2.17,2019-08-16
"73","311","SYNT","SYNTHOMER","GBX","299.20",8.4,2.89,2019-08-16
"74","314","TW.","TAYLOR WIMPEY","GBX","143.60",0.7,0.49,2019-08-16
"75","322","TCAP","TP ICAP","GBX","289.10",10.2,3.66,2019-08-16
"76","325","BBOX","TRITAX BIG BOX","GBX","143.80",1.9,1.34,2019-08-16
"77","326","TUI","TUI AG","GBX","746.80",2,0.27,2019-08-16
"78","328","UDG","UDG HEALTHCARE","GBX","795.50",11.5,1.47,2019-08-16
"79","333","UU.","UTD. UTILITIES","GBX","781.60",-7.6,-0.96,2019-08-16
"80","335","VCT","VICTREX","GBX","1,873.00",28,1.52,2019-08-16
"81","336","VEIL","VIETNAM ENT","GBX","480.00",2,0.42,2019-08-16
"82","347","WG.","WOOD GRP(J)","GBX","433.00",0.6,0.14,2019-08-16
"83","348","WPCT","WOODFORD","GBX","44.15",0.75,1.73,2019-08-16
